features,labels
"[0.5730841755867004, 0.537063717842102, -0.2830717861652374, 0.44323229789733887, 0.5372885465621948, -0.2634822726249695, 0.6275675296783447, 0.6655572652816772, -0.2974447011947632, 0.39399656653404236, 0.6616377234458923, -0.3036482036113739, 0.672081470489502, 0.781795859336853, -0.36143380403518677, 0.3467865586280823, 0.7781827449798584, -0.39963391423225403, 0.5454108119010925, 0.6998941898345947, -0.002080039819702506, 0.480178564786911, 0.6997801065444946, 0.0017618169076740742, 0.5809473991394043, 0.6789019107818604, -0.3029482364654541, 0.4435182809829712, 0.6864229440689087, -0.3227900564670563]",0
"[0.5732923746109009, 0.5357467532157898, -0.2843489348888397, 0.4434811770915985, 0.5366928577423096, -0.26463618874549866, 0.6269577145576477, 0.6625378131866455, -0.29696592688560486, 0.3938315808773041, 0.6607735753059387, -0.3025328516960144, 0.6724191904067993, 0.7837347388267517, -0.3591553568840027, 0.3483223021030426, 0.7758046388626099, -0.39715924859046936, 0.5449776649475098, 0.6948121190071106, -0.0016992543824017048, 0.4796484112739563, 0.6967707872390747, 0.001377953332848847, 0.5822908878326416, 0.6772172451019287, -0.30209803581237793, 0.4429588317871094, 0.688241720199585, -0.32132488489151]",0
"[0.5727939605712891, 0.5360774993896484, -0.28793948888778687, 0.44389045238494873, 0.5360893607139587, -0.26922616362571716, 0.6274598240852356, 0.6622463464736938, -0.3027918338775635, 0.3932073712348938, 0.6595926284790039, -0.3114194869995117, 0.6725717186927795, 0.7827874422073364, -0.36910274624824524, 0.3482006788253784, 0.7748590707778931, -0.41105660796165466, 0.5436076521873474, 0.6972516775131226, -0.002139120362699032, 0.4786843955516815, 0.6979169845581055, 0.001815066789276898, 0.5811319947242737, 0.677349865436554, -0.31206822395324707, 0.44324514269828796, 0.6864180564880371, -0.33021026849746704]",0
"[0.5729981660842896, 0.5349815487861633, -0.29233428835868835, 0.4440307915210724, 0.5340206623077393, -0.2727554440498352, 0.6283430457115173, 0.6621536612510681, -0.30988606810569763, 0.3933330178260803, 0.6576506495475769, -0.31401166319847107, 0.6729668974876404, 0.7842389345169067, -0.3812500834465027, 0.3473772704601288, 0.7749640345573425, -0.41130104660987854, 0.5454333424568176, 0.6913338899612427, -0.002295820042490959, 0.47925424575805664, 0.6947274804115295, 0.001972505357116461, 0.5822281837463379, 0.678930401802063, -0.30651211738586426, 0.44111064076423645, 0.6891188621520996, -0.3190017640590668]",0
"[0.571927011013031, 0.5336437225341797, -0.2924115061759949, 0.4441523551940918, 0.5335689783096313, -0.2736961245536804, 0.6285674571990967, 0.6603643298149109, -0.3120701014995575, 0.3930741548538208, 0.6588918566703796, -0.32079797983169556, 0.6731551885604858, 0.784148097038269, -0.3830035626888275, 0.34783345460891724, 0.7756627202033997, -0.4230840504169464, 0.5440748333930969, 0.6951578259468079, -0.0021172903943806887, 0.47834569215774536, 0.6966344118118286, 0.0017916986253112555, 0.5810766816139221, 0.6762455701828003, -0.30999165773391724, 0.442872017621994, 0.6835331916809082, -0.32346513867378235]",0
"[0.5730382800102234, 0.5350210666656494, -0.2971768081188202, 0.44379985332489014, 0.5337502956390381, -0.27959439158439636, 0.6293091773986816, 0.6642149090766907, -0.31509172916412354, 0.3934233784675598, 0.6582689881324768, -0.3229024112224579, 0.673352837562561, 0.7841478586196899, -0.38356974720954895, 0.3473283052444458, 0.7757891416549683, -0.41969993710517883, 0.5451523065567017, 0.6876806020736694, -0.0010945568792521954, 0.4780805706977844, 0.6907687783241272, 0.0007798034930601716, 0.5804715156555176, 0.6832817792892456, -0.3095163106918335, 0.4422287940979004, 0.6890773177146912, -0.3194286823272705]",0
"[0.5729435086250305, 0.5353472232818604, -0.2943485677242279, 0.444148987531662, 0.5338408350944519, -0.27569639682769775, 0.6291812658309937, 0.6634160280227661, -0.3122098445892334, 0.3921792805194855, 0.6604452729225159, -0.3182971775531769, 0.6723403930664062, 0.7835100293159485, -0.3777352273464203, 0.3452923893928528, 0.779779851436615, -0.41600364446640015, 0.5437601208686829, 0.6921852827072144, -0.00038021570071578026, 0.4778532385826111, 0.6931933164596558, 6.666599801974371e-05, 0.5797852873802185, 0.6823182106018066, -0.29779529571533203, 0.4428653419017792, 0.6850811243057251, -0.3232057988643646]",0
"[0.5723881125450134, 0.5350146889686584, -0.2933480739593506, 0.4441464841365814, 0.5341458320617676, -0.27285823225975037, 0.6291365027427673, 0.6628732681274414, -0.31419312953948975, 0.39337632060050964, 0.659833550453186, -0.31889986991882324, 0.6733797788619995, 0.7853670716285706, -0.38356587290763855, 0.34737369418144226, 0.7754694819450378, -0.4179472327232361, 0.5458916425704956, 0.6883596777915955, -0.0006091815303079784, 0.4794870615005493, 0.6907185316085815, 0.000274017482297495, 0.5805746912956238, 0.6821271181106567, -0.30383455753326416, 0.4420919120311737, 0.6885255575180054, -0.31085842847824097]",0
"[0.5714573264122009, 0.5360546112060547, -0.29521387815475464, 0.4435299336910248, 0.5351952910423279, -0.27566900849342346, 0.6294281482696533, 0.6623845100402832, -0.31950610876083374, 0.39302605390548706, 0.6617189645767212, -0.3263947367668152, 0.6714318990707397, 0.7817495465278625, -0.3954595923423767, 0.3456345498561859, 0.7790771126747131, -0.434114545583725, 0.5436689257621765, 0.6962020397186279, -0.0025460137985646725, 0.47844964265823364, 0.6980481147766113, 0.0022128422278910875, 0.5794790387153625, 0.6801239848136902, -0.31357342004776, 0.44446831941604614, 0.6828485131263733, -0.3295041620731354]",0
"[0.5719506740570068, 0.5356405973434448, -0.29882726073265076, 0.4436747133731842, 0.5343692898750305, -0.27893301844596863, 0.6294829845428467, 0.6629036068916321, -0.3276146948337555, 0.39264485239982605, 0.6621629595756531, -0.33440616726875305, 0.6714599132537842, 0.7828124165534973, -0.40116086602211, 0.34569695591926575, 0.7812866568565369, -0.44172197580337524, 0.5445599555969238, 0.6942265033721924, -0.0013053588336333632, 0.4789638817310333, 0.6952801942825317, 0.0009838424157351255, 0.5811589956283569, 0.6834426522254944, -0.30455827713012695, 0.44359290599823, 0.6839624643325806, -0.3159608244895935]",0
"[0.5715253949165344, 0.5363068580627441, -0.29466378688812256, 0.4436739981174469, 0.5348453521728516, -0.27192097902297974, 0.6292654275894165, 0.6633875370025635, -0.3160276412963867, 0.3926141858100891, 0.6618309617042542, -0.3163233697414398, 0.6719219088554382, 0.7836956977844238, -0.3890432119369507, 0.34606170654296875, 0.7811416983604431, -0.4184628427028656, 0.5442222952842712, 0.6925600171089172, -0.0028624343685805798, 0.47865456342697144, 0.694820761680603, 0.0025359932333230972, 0.5792748928070068, 0.6818956136703491, -0.3185476064682007, 0.44390374422073364, 0.6878316402435303, -0.3340623080730438]",0
"[0.5714915990829468, 0.5391980409622192, -0.30450963973999023, 0.4438655376434326, 0.5355216264724731, -0.2860201895236969, 0.6284455060958862, 0.6642633080482483, -0.3275161683559418, 0.3935762941837311, 0.6580875515937805, -0.33351823687553406, 0.6716436743736267, 0.7818020582199097, -0.407218337059021, 0.34801584482192993, 0.7756764888763428, -0.4425942003726959, 0.5436626076698303, 0.6861447095870972, -0.002176320180296898, 0.478676974773407, 0.6879594922065735, 0.0018469778588041663, 0.5812522768974304, 0.6884293556213379, -0.33383363485336304, 0.44207605719566345, 0.6930720210075378, -0.3480180501937866]",0
"[0.5718944072723389, 0.5395610928535461, -0.3119908273220062, 0.44365763664245605, 0.5368870496749878, -0.2951246500015259, 0.6289744973182678, 0.6632055640220642, -0.3333960473537445, 0.3926313519477844, 0.6606638431549072, -0.34483444690704346, 0.6717639565467834, 0.7800256013870239, -0.41429781913757324, 0.34695693850517273, 0.7789396643638611, -0.45415398478507996, 0.5454068779945374, 0.6831233501434326, -0.0029743986669927835, 0.48088538646698, 0.6858327388763428, 0.0026428340934216976, 0.5820502042770386, 0.6923917531967163, -0.3425520360469818, 0.4422767758369446, 0.6903807520866394, -0.3508417308330536]",0
"[0.5721132159233093, 0.5371888875961304, -0.2875262498855591, 0.44414618611335754, 0.534786581993103, -0.26761874556541443, 0.6290460824966431, 0.6651518940925598, -0.30922412872314453, 0.39330169558525085, 0.6589441299438477, -0.3126969635486603, 0.672545313835144, 0.7839514017105103, -0.38251492381095886, 0.34827160835266113, 0.7771010994911194, -0.4184061586856842, 0.5424290299415588, 0.69448322057724, -0.0022501018829643726, 0.4770403504371643, 0.6964532732963562, 0.0019226574804633856, 0.5797454118728638, 0.6795741319656372, -0.31636902689933777, 0.4437039792537689, 0.6888182759284973, -0.33381643891334534]",0
"[0.5725750923156738, 0.5394617915153503, -0.3011374771595001, 0.44382795691490173, 0.5364060401916504, -0.28276336193084717, 0.6278871297836304, 0.6622421145439148, -0.32994383573532104, 0.3918389081954956, 0.6608685255050659, -0.33416783809661865, 0.6723019480705261, 0.7815878987312317, -0.4170991778373718, 0.34678590297698975, 0.7774729132652283, -0.44249454140663147, 0.5448950529098511, 0.6875262260437012, -0.003559910925105214, 0.4801658093929291, 0.6908910274505615, 0.003232622751966119, 0.5809656977653503, 0.682314932346344, -0.3462415635585785, 0.44164595007896423, 0.6952177882194519, -0.35300302505493164]",0
