features,labels
"[0.4617180824279785, 0.314929723739624, -0.1290084719657898, 0.4562053382396698, 0.3364703059196472, 0.17343030869960785, 0.4206582307815552, 0.2575007379055023, -0.21003392338752747, 0.4065037965774536, 0.30243223905563354, 0.1889820694923401, 0.3791000247001648, 0.20452973246574402, -0.2142808884382248, 0.37704408168792725, 0.23660722374916077, 0.08108725398778915, 0.5074105858802795, 0.5100391507148743, -0.093206986784935, 0.4999220669269562, 0.5152782201766968, 0.09299730509519577, 0.48071181774139404, 0.6499919891357422, -0.12478476762771606, 0.4788287281990051, 0.6455923318862915, 0.06780626624822617]",0
"[0.4539547264575958, 0.30584198236465454, -0.15909932553768158, 0.45060521364212036, 0.3321537971496582, 0.16685724258422852, 0.4012601971626282, 0.28426647186279297, -0.24608317017555237, 0.3973270058631897, 0.3286040425300598, 0.19845689833164215, 0.34455978870391846, 0.2642299234867096, -0.255144864320755, 0.3513778746128082, 0.3027186989784241, 0.09177546203136444, 0.518563985824585, 0.4863172173500061, -0.09615911543369293, 0.5164055228233337, 0.49672895669937134, 0.09599760919809341, 0.5015628337860107, 0.6295496225357056, -0.1027706116437912, 0.5009575486183167, 0.6271915435791016, 0.06258020550012589]",0
"[0.44330835342407227, 0.2987586259841919, -0.19481025636196136, 0.44384029507637024, 0.3280816674232483, 0.12186592817306519, 0.3863307535648346, 0.33113589882850647, -0.2755809724330902, 0.3937447965145111, 0.3666241466999054, 0.14587652683258057, 0.3343006670475006, 0.3546793460845947, -0.27566298842430115, 0.34639084339141846, 0.3792392611503601, 0.04585707560181618, 0.5286873579025269, 0.4475281834602356, -0.09199051558971405, 0.5269806981086731, 0.45633137226104736, 0.09185810387134552, 0.5200481414794922, 0.5939370393753052, -0.06688106060028076, 0.5218534469604492, 0.5974168181419373, 0.07066982984542847]",0
"[0.43864965438842773, 0.3009432554244995, -0.16785989701747894, 0.4403327405452728, 0.33619681000709534, 0.13343796133995056, 0.3891808092594147, 0.3517681956291199, -0.2306842803955078, 0.39560818672180176, 0.3942849040031433, 0.16302137076854706, 0.3415207266807556, 0.3914153575897217, -0.2088651806116104, 0.3541220724582672, 0.42695480585098267, 0.07821498066186905, 0.5361377000808716, 0.4291897118091583, -0.0862845629453659, 0.5360570549964905, 0.4417584240436554, 0.0861375629901886, 0.5248651504516602, 0.5781030058860779, -0.058308668434619904, 0.5259636640548706, 0.5794411897659302, 0.07025035470724106]",0
"[0.4335765838623047, 0.31851452589035034, -0.18059596419334412, 0.43950408697128296, 0.34268489480018616, 0.13290643692016602, 0.40369147062301636, 0.40565022826194763, -0.24013297259807587, 0.4097619652748108, 0.4219726622104645, 0.15788698196411133, 0.3721465766429901, 0.48326027393341064, -0.20051081478595734, 0.37847375869750977, 0.49401259422302246, 0.06751063466072083, 0.541316032409668, 0.38940003514289856, -0.09077797830104828, 0.5388527512550354, 0.39964109659194946, 0.09061921387910843, 0.531316876411438, 0.5399624109268188, -0.05988822132349014, 0.5328697562217712, 0.5434025526046753, 0.08201189339160919]",0
"[0.4329492747783661, 0.33086615800857544, -0.15297341346740723, 0.4400040805339813, 0.3486018180847168, 0.1569547802209854, 0.4165915548801422, 0.42518872022628784, -0.20768573880195618, 0.42172160744667053, 0.4402860999107361, 0.18846958875656128, 0.39633309841156006, 0.5115427374839783, -0.16368980705738068, 0.39909249544143677, 0.5133695602416992, 0.10681330412626266, 0.5410584211349487, 0.37055498361587524, -0.09043744206428528, 0.5403280854225159, 0.37861397862434387, 0.09025859832763672, 0.5346147418022156, 0.5249766111373901, -0.050380416214466095, 0.536980926990509, 0.5258890390396118, 0.0944545567035675]",0
"[0.4365379810333252, 0.37037259340286255, -0.15122081339359283, 0.44347885251045227, 0.3806208670139313, 0.1264960765838623, 0.45938628911972046, 0.46047163009643555, -0.18365095555782318, 0.4574164152145386, 0.46481388807296753, 0.17041464149951935, 0.47748884558677673, 0.5409682393074036, -0.1281677633523941, 0.47667014598846436, 0.5426853895187378, 0.11610888689756393, 0.5363860726356506, 0.32080429792404175, -0.08111534267663956, 0.5352140665054321, 0.33146795630455017, 0.08093652874231339, 0.5426738262176514, 0.46878424286842346, -0.04414346069097519, 0.5430841445922852, 0.47197598218917847, 0.11229217052459717]",0
"[0.44071415066719055, 0.38412734866142273, -0.15267479419708252, 0.44856441020965576, 0.38975101709365845, 0.12424462288618088, 0.47193387150764465, 0.45742538571357727, -0.1863170564174652, 0.47398805618286133, 0.46344536542892456, 0.1672053188085556, 0.5025595426559448, 0.5328564643859863, -0.13185328245162964, 0.5036854147911072, 0.535054624080658, 0.11278367787599564, 0.5330885052680969, 0.30994901061058044, -0.08261069655418396, 0.5337062478065491, 0.31764504313468933, 0.08243650197982788, 0.5456417202949524, 0.4539729058742523, -0.055789705365896225, 0.5484495759010315, 0.45493820309638977, 0.11017464846372604]",0
"[0.45644116401672363, 0.415488600730896, -0.1288677453994751, 0.45943397283554077, 0.41207659244537354, 0.1275792121887207, 0.5080050826072693, 0.45078518986701965, -0.14329907298088074, 0.506714940071106, 0.449504554271698, 0.15053169429302216, 0.5515272617340088, 0.4857264459133148, -0.07001142203807831, 0.5446222424507141, 0.4880526065826416, 0.08035799860954285, 0.5244992971420288, 0.2861224412918091, -0.07654725015163422, 0.522326648235321, 0.2951158881187439, 0.07638528198003769, 0.5504531264305115, 0.42783889174461365, -0.03715822845697403, 0.5495640635490417, 0.4308795630931854, 0.09147314727306366]",0
"[0.46588197350502014, 0.4260387718677521, -0.1476680338382721, 0.4672333300113678, 0.42141181230545044, 0.12963978946208954, 0.5263339877128601, 0.44091445207595825, -0.16374841332435608, 0.521583080291748, 0.4333914816379547, 0.14321772754192352, 0.5765522718429565, 0.4578724801540375, -0.07984204590320587, 0.5736087560653687, 0.45464983582496643, 0.05531786382198334, 0.5167227983474731, 0.2784522771835327, -0.08454909920692444, 0.5153762102127075, 0.28532516956329346, 0.0844142884016037, 0.554865837097168, 0.42087748646736145, -0.03355901315808296, 0.553666889667511, 0.4273488521575928, 0.09068664163351059]",0
"[0.48640063405036926, 0.43953171372413635, -0.10699878633022308, 0.4845251441001892, 0.4332141578197479, 0.15867456793785095, 0.5386133790016174, 0.40197375416755676, -0.13489118218421936, 0.5324540138244629, 0.3986204266548157, 0.17686396837234497, 0.5867739319801331, 0.38678067922592163, -0.06626614183187485, 0.5806713700294495, 0.38921332359313965, 0.10971048474311829, 0.4990476369857788, 0.2740115821361542, -0.07877575606107712, 0.4981176257133484, 0.27731117606163025, 0.078639917075634, 0.5594735145568848, 0.38223016262054443, -0.021871361881494522, 0.557286262512207, 0.3866117000579834, 0.08371877670288086]",0
"[0.508476197719574, 0.44696468114852905, -0.14392681419849396, 0.4979031980037689, 0.4469313621520996, 0.1449383646249771, 0.5471662878990173, 0.36965399980545044, -0.15771739184856415, 0.5348023176193237, 0.37150850892066956, 0.1387021839618683, 0.5850386619567871, 0.3249608278274536, -0.06205616518855095, 0.5755894184112549, 0.3309088349342346, 0.020956093445420265, 0.4871712923049927, 0.2832421660423279, -0.08928404748439789, 0.48274895548820496, 0.2879227101802826, 0.08916617184877396, 0.5588017702102661, 0.3583148419857025, -0.008788255974650383, 0.5519546866416931, 0.3649193346500397, 0.10699556022882462]",0
